feature,importance
google_index,0.20504707644636513
page_rank,0.10254016897536587
nb_hyperlinks,0.09243620916970047
web_traffic,0.07842216263843214
nb_www,0.03918943213384792
phish_hints,0.03213544817747929
domain_age,0.029142193774901907
longest_word_path,0.02881935332461546
ratio_extHyperlinks,0.026471394928115618
safe_anchor,0.026084897243894668
ratio_intHyperlinks,0.025150111719296334
ratio_extRedirection,0.023017982641214657
ratio_digits_url,0.022554019802712443
char_repeat,0.014023766565149896
length_url,0.013940316833969431
length_words_raw,0.013580582624813318
length_hostname,0.013093910739284547
links_in_tags,0.01246522689042445
longest_words_raw,0.012231803498156755
domain_in_title,0.012182426987277131
nb_dots,0.011712653247495765
ratio_digits_host,0.01164323848461013
shortest_word_host,0.01055940975927544
nb_slash,0.009983547374152106
avg_word_path,0.009725705632415567
shortest_word_path,0.00967501084580123
nb_hyphens,0.008316252173899861
ip,0.00781286543432836
nb_qm,0.007702812355305471
domain_registration_length,0.00751774550376955
avg_words_raw,0.0072969456876768365
nb_eq,0.0068664211908899585
avg_word_host,0.006277609025803611
ratio_extMedia,0.00582217471784735
domain_with_copyright,0.005620201821064479
shortest_words_raw,0.0054790156830964
longest_word_host,0.005324950735023151
ratio_intMedia,0.0038654470514941524
ratio_extErrors,0.003343486188657906
nb_subdomains,0.0026370169497907697
nb_redirection,0.00262856127767387
domain_in_brand,0.002592458823982327
nb_extCSS,0.002554118553407164
shortening_service,0.0020542818805506964
nb_underscore,0.0018272448970072467
prefix_suffix,0.0015646692131347645
empty_title,0.0015540546029701023
nb_percent,0.001437688112214183
dns_record,0.001413832641389342
http_in_path,0.0012592366062517057
https_token,0.0010614178737423984
nb_and,0.0010530119998434745
external_favicon,0.0010437916775555478
nb_space,0.001001107809027116
suspecious_tld,0.0007800493528653297
nb_colon,0.0006002116985810717
whois_registered_domain,0.0005976231060085385
login_form,0.0005542086078280047
statistical_report,0.0005476604894300311
random_domain,0.00047793193092771026
abnormal_subdomain,0.0004656546706774205
tld_in_subdomain,0.00046296751820102967
nb_com,0.0004511846113882967
nb_dslash,0.0004211906597403706
nb_semicolumn,0.00038740690649572714
nb_at,0.0003829430604223666
tld_in_path,0.0003716101103288031
port,0.00024270912556935553
right_clic,9.494951578126713e-05
brand_in_path,8.887029521101005e-05
nb_tilde,7.88499309146038e-05
nb_comma,5.437852989562631e-05
popup_window,4.4314715369782484e-05
brand_in_subdomain,4.3542292974030857e-05
onmouseover,4.039320084612402e-05
iframe,2.0955747854861065e-05
path_extension,1.7485941875868063e-05
nb_external_redirection,1.6437034647371024e-05
nb_dollar,2.0340639069978692e-20
nb_star,0.0
ratio_nullHyperlinks,0.0
submit_email,0.0
ratio_intRedirection,0.0
ratio_intErrors,0.0
nb_or,0.0
punycode,0.0
sfh,0.0
